From,To,Distance
"Aaiun, Western Sahara","Arrecife De Lanzarote, Canary Islands",111
"Aaiun, Western Sahara","Bishop Rock, England",1397
"Aaiun, Western Sahara","Cape Of Good Hope, South Africa",4436
"Aaiun, Western Sahara","Casablanca, Morocco",506
"Aaiun, Western Sahara","Dakar, Senegal",793
"Aaiun, Western Sahara","Fastnet Rock, Ireland",1465
"Aaiun, Western Sahara",Grand Banks South,2003
"Aaiun, Western Sahara","Ile D’Ouessant, France",1356
"Aaiun, Western Sahara","Inishtrahull, Ireland",1753
"Aaiun, Western Sahara","Monrovia, Liberia",1525
"Aaiun, Western Sahara","New York, New York, United States",3065
"Aaiun, Western Sahara","Panama, Panama",3894
"Aaiun, Western Sahara","Pentland Firth, Scotland",2006
"Aaiun, Western Sahara","Porto Grande, Cape Verde Islands",887
"Aaiun, Western Sahara","Punta Arenas, Chile",5684
"Aaiun, Western Sahara",Strait Of Gibraltar,667
"Aaiun, Western Sahara","Straits Of Florida, United States",3712
"Aalborg, Denmark","Gdynia, Poland",410
"Aalborg, Denmark","Kobenhavn, Denmark",143
"Aalborg, Denmark","Lubeck, Germany",244
"Aalborg, Denmark","Nord-Ostsee-Kanal, Germany",207
"Aalborg, Denmark","Skagens Odde, Denmark",87
"Aarhus, Denmark","Abenra, Denmark",103
"Aarhus, Denmark","Brevik, Norway",211
"Aarhus, Denmark","Drammen Harbor, Norway",250
"Aarhus, Denmark","Kobenhavn, Denmark",108
"Aarhus, Denmark","Nord-Ostsee-Kanal, Germany",131
"Aarhus, Denmark","Oslo, Norway",255
"Aarhus, Denmark","Skagens Odde, Denmark",127
"Aarhus, Denmark","Skredsvik, Sweden",194
"Aarhus, Denmark","Slagen, Norway",222
"Aarhus, Denmark","Stenungsund, Sweden",163
"Aarhus, Denmark","Szczecin, Poland",268
"Aasiaat, Greenland","Churchill, Canada",1485
"Aasiaat, Greenland","Pentland Firth, Scotland",1925
"Aasiaat, Greenland","Reykjavik, Iceland",1371
"Aasiaat, Greenland","St. John’S, Canada",1294
"Aasiaat, Greenland",Strait Of Gibraltar,2772
"Abadan, Iran","Bombay, India",1357
"Abadan, Iran","Lavan Island, Iran",349
"Abadan, Iran","Yanbu Al Bahr, Saudi Arabia",2783
"Abadan, Iraq","Aden, Yemen",1937
"Abadan, Iraq","Mina Al Ahmadi, Kuwait",110
"Abenra, Denmark","Aarhus, Denmark",114
"Abenra, Denmark","Helsinki, Finland",666
"Abenra, Denmark","Kobenhavn, Denmark",196
"Abenra, Denmark","Lubeck, Germany",138
"Abenra, Denmark","Lulea, Sweden",914
"Abenra, Denmark","Nord-Ostsee-Kanal, Germany",207
"Abenra, Denmark","Riga, Latvia",588
"Abenra, Denmark","Sankt-Peterburg, Russia",811
"Abenra, Denmark","Skagens Odde, Denmark",87
"Abenra, Denmark","Skredsvik, Sweden",266
"Abenra, Denmark","Stenungsund, Sweden",245
